Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
stayspooky_abcbb9e8	tara	Now then, I hope you’ll join me in wishing a very fond farewell to Maddie, and to the first era of our show.	game/episodes/stayspooky/stayspookymaddie.rpy	245	tara "[what]"
stayspooky_3a5a33ab	maddie	Thank you very much for all your support over the years. I’ll always be grateful for it.	game/episodes/stayspooky/stayspookymaddie.rpy	249	maddie "[what]"
stayspooky_ef25a727	tara	Aww, you softie.	game/episodes/stayspooky/stayspookymaddie.rpy	253	tara "[what]"
stayspooky_de372f44	maddie	Oh, hush.	game/episodes/stayspooky/stayspookymaddie.rpy	257	maddie "[what]"
stayspooky_f215723b	maddie	And yes, this is an ending. But it’s a beginning, too. You’ll see what we mean by that tomorrow.	game/episodes/stayspooky/stayspookymaddie.rpy	261	maddie "[what]"
stayspooky_71f04b82	tara	Trust us when we tell you that you’re gonna love it.	game/episodes/stayspooky/stayspookymaddie.rpy	265	tara "[what]"
stayspooky_e602d4e7	tara	Now would you like to do the honors, Mads?	game/episodes/stayspooky/stayspookymaddie.rpy	268	tara "[what]"
stayspooky_401bb98a	maddie	Oh, why not?	game/episodes/stayspooky/stayspookymaddie.rpy	272	maddie "[what]"
stayspooky_dd0c4f46	maddie	Until then…	game/episodes/stayspooky/stayspookymaddie.rpy	275	maddie "[what]"
stayspooky_55058a51	maddie	{size=50}{i}Stay spooky, everyone!{/i}{/size}	game/episodes/stayspooky/stayspookymaddie.rpy	283	maddie "[what]"
